Market,Medium,Month, Rate Card , Discount , Added Value 
"Zambia 
(ZMW)",META,Aug, 161 000 , 45 500 , 30 100 
"Zambia 
(ZMW)",LinkedIn,Aug, 69 000 , 18 900 , 12 900 
"Zambia 
(ZMW)",Radio,Aug, 530 023 , 206 252 , 90 200 
"Zambia 
(ZMW)",OOH,Aug, 400 000 , 80 263 , 76 000 
"Zambia 
(ZMW)",DOOH,Aug, 196 000 , 65 000 , 40 000 
Botswana (BWP),Radio,Sep, 133 672 , 4 093 ,
Botswana (BWP),Print,Sep, 104 115 , 9 046 ,
Botswana (BWP),OOH,Sep, 317 646 , 76 023 ,
Botswana (BWP),DOOH,Sep, 201 803 , 23 493 ,
"Ghana 
(GHS)",Digital,Sep, 82 323 , -   , -   
"Ghana 
(GHS)",Radio,Sep, 784 313 , 551 885 , -   
"Ghana 
(GHS)",Print,Sep, 381 571 , 191 836 , -   
"Ghana 
(GHS)",OOH,Sep, 25 226 , 3 840 , -   
"Kenya
 (KES)",Television,Sep, 4 050 000 , 1 249 520 , 2 700 000 
"Kenya
 (KES)",META,Sep, 1 421 668 , -   , -   
"Kenya
 (KES)",LinkedIn,Sep, 482 165 , -   , -   
"Kenya
 (KES)",X,Sep, 1 009 411 , -   , -   
"Kenya
 (KES)",Google Display Network,Sep, 744 662 , -   , -   
"Kenya
 (KES)",Programmatic Display,Sep, 2 140 483 , -   , -   
"Kenya
 (KES)",Radio,Sep, 5 600 000 , 2 812 000 , 1 800 000 
"Kenya
 (KES)",Print,Sep, 372 000 , 5 348 260 , -   
"Kenya
 (KES)",OOH,Sep, 1 800 000 , 250 000 , -   
"Kenya
 (KES)",DOOH,Sep, 950 000 , 50 000 , -   
"Mauritius 
(MUR)",Digital,Sep, 533 866 , 10 471 , -   
"Mauritius 
(MUR)",Radio,Sep, 263 425 , 52 685 , -   
"Mauritius 
(MUR)",Print,Sep, 299 455 , 28 763 , -   
"Mauritius 
(MUR)",OOH,Sep, 266 531 , 47 381 , -   
"Mauritius 
(MUR)",DOOH,Sep, 1 312 639 , 201 065 , -   
"Mozambique 
(MZN)",Digital,Sep, 229 955 , -   , -   
"Mozambique 
(MZN)",META,Sep, 41 642 , 0 , -   
"Mozambique 
(MZN)",LinkedIn,Sep, 118 694 , -   , -   
"Mozambique 
(MZN)",Programmatic Video,Sep, 69 619 , -   , -   
"Mozambique 
(MZN)",Print,Sep, 205 650 , 16 380 , -   
"Mozambique 
(MZN)",OOH,Sep, 1 134 482 , 27 792 , -   
"Mozambique 
(MZN)",DOOH,Sep, 551 386 , 45 329 , -   
"Seychells
(SCR)",Digital,Sep, 41 926 , 7 966 , -   
"Seychells
(SCR)",Radio,Sep, 29 870 , 6 870 , 11 050 
"Seychells
(SCR)",Print,Sep, 28 520 , 5 704 , -   
"Seychells
(SCR)",OOH,Sep, 79 627 , 19 907 , -   
